基金代码,基金类型,管理费率,托管费率,最新资产规模,披露日,2015_收益,2016_收益,2017_收益,2018_收益,2019_收益,2020_收益,2021_收益,2022_收益,2023_收益,2024_收益,2015_规模,2016_规模,2017_规模,2018_规模,2019_规模,2020_规模,2021_规模,2022_规模,2023_规模,2024_规模
000417,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,0.34亿元,缺失,16.6,17.8,18.19,-25.4,7.76,60.23,40.98,25.44,17.46,24.75,,,,,,,,,,
000418,股票型发行日期,1.20%（每年）,0.20%（每年）,23.94亿元,缺失,,,,,,,,,,,,,,,,,,,,
000419,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,0.99亿元,缺失,,,,,,,,,,,,,,,,,,,,
000420,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,0.24亿元,缺失,9.1,12.9,16.3,6.0,6.5,3.2,4.51,-0.44,2.71,9.05,,,,,,,,,,
000423,混合型-灵活发行日期,0.90%（每年）,0.05%（每年）,0.50亿元,缺失,7.6,6.4,43.2,14.0,65.7,107.0,109.8,77.4,77.9,80.7,,,,,,,,,,
000424,货币型-普通货币发行日期,0.33%（每年）,0.10%（每年）,267.25亿元,缺失,,,,,,,,,,,,,,,,,,,,
000425,货币型-普通货币发行日期,0.33%（每年）,0.10%（每年）,0.00亿元,缺失,,,,,,,,,,,,,,,,,,,,
000431,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,2.33亿元,缺失,7.7,2.3,46.3,6.0,73.9,226.6,304.8,215.8,134.3,132.3,,,,,,,,,,
000432,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,0.11亿元,缺失,69.1,58.5,48.5,31.7,80.7,125.1,141.0,88.5,61.8,63.7,,,,,,,,,,
000433,混合型-灵活发行日期,1.00%（每年）,0.20%（每年）,0.42亿元,缺失,,,,,,,,,,,,,,,,,,,,
000434,货币型-普通货币发行日期,0.33%（每年）,0.10%（每年）,23.36亿元,缺失,,,,,,,,,,,,,,,,,,,,
000436,混合型-偏债发行日期,0.40%（每年）,0.10%（每年）,16.03亿元,缺失,58.3,66.1,64.6,74.6,60.9,62.9,78.6,65.4,64.3,81.9,,,,,,,,,,
000452,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,24.05亿元,缺失,50.7,40.0,53.5,39.4,101.7,255.4,253.9,150.3,123.7,89.94,,,,,,,,,,
000457,股票型发行日期,1.20%（每年）,0.20%（每年）,7.71亿元,缺失,74.1,79.0,116.3,19.6,77.0,151.26,196.43,123.8,87.77,115.9,,,,,,,,,,
000458,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,0.66亿元,缺失,-24.0,-22.06,-7.94,-24.33,-4.7,27.26,72.42,37.68,11.94,10.33,,,,,,,,,,
000459,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,0.02亿元,缺失,,,,,,,,,,,,,,,,,,,,
000462,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,4.86亿元,缺失,,,,,,,,,,,,,,,,,,,,
000464,货币型-普通货币发行日期,0.30%（每年）,0.08%（每年）,114.94亿元,缺失,,,,,,,,,,,,,,,,,,,,
000465,债券型-长债发行日期,0.60%（每年）,0.20%（每年）,4.00亿元,缺失,8.1,2.3,0.7000000000000001,2.4,0.6000000000000001,0.7000000000000001,0.7000000000000001,-0.4,0.6000000000000001,5.5,,,,,,,,,,
000469,债券型-长债发行日期,,0.06%（每年）,21.44亿元,缺失,,,,,,,,,,,,,,,,,,,,
000470,债券型-长债发行日期,,0.06%（每年）,21.44亿元,缺失,,,,,,,,,,,,,,,,,,,,
000471,股票型发行日期,1.20%（每年）,0.20%（每年）,7.23亿元,缺失,185.6,100.8,75.3,-1.7,50.6,141.3,182.4,131.8,111.1,122.1,,,,,,,,,,
000472,股票型发行日期,1.20%（每年）,0.20%（每年）,7.23亿元,缺失,,,,,,,,,,,,,,,,,,,,
000475,货币型-普通货币发行日期,0.33%（每年）,0.10%（每年）,2.82亿元,缺失,,,,,,,,,,,,,,,,,,,,
000476,货币型-普通货币发行日期,0.33%（每年）,0.10%（每年）,0.10亿元,缺失,,,,,,,,,,,,,,,,,,,,
000477,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,12.90亿元,缺失,93.5,62.9,88.2,21.4,58.5,179.7,155.2,100.2,72.1,83.04,,,,,,,,,,
000478,指数型-股票发行日期,1.00%（每年）,0.20%（每年）,40.06亿元,缺失,125.41,128.02,135.35,61.47,106.09,162.2,219.33,166.78,142.82,157.83,,,,,,,,,,
000480,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,27.76亿元,缺失,98.3,101.9,155.6,99.5,150.5,231.9,316.8,270.8,295.7,355.6,,,,,,,,,,
000483,货币型-普通货币发行日期,0.28%（每年）,0.05%（每年）,1.45亿元,缺失,,,,,,,,,,,,,,,,,,,,
000484,货币型-普通货币发行日期,0.28%（每年）,0.05%（每年）,1.65亿元,缺失,,,,,,,,,,,,,,,,,,,,
000487,债券型-中短债发行日期,,0.05%（每年）,1.92亿元,缺失,,,,,0.0099990001,0.4699530047,0.6099390061000001,0.0199980002,1.3598640136,1.2198780122,,,,,,,,,,
000488,债券型-中短债发行日期,,0.05%（每年）,32.71亿元,缺失,,,,,,,,,,,,,,,,,,,,
000493,货币型-普通货币发行日期,0.27%（每年）,0.05%（每年）,0.00亿元,缺失,,,,,,,,,,,,,,,,,,,,
000494,货币型-普通货币发行日期,0.22%（每年）,0.05%（每年）,0.00亿元,缺失,,,,,,,,,,,,,,,,,,,,
000495,货币型-普通货币发行日期,0.17%（每年）,0.05%（每年）,2.99亿元,缺失,,,,,,,,,,,,,,,,,,,,
000496,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,0.19亿元,缺失,4.1,3.4,18.13,2.53,33.27,52.31,117.25,50.75,9.43,3.29,,,,,,,,,,
000497,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,10.09亿元,缺失,0.0,2.8,4.15,3.9,7.17,7.93,6.98,4.48,6.87,2.99,,,,,,,,,,
000503,债券型-中短债发行日期,0.30%（每年）,0.10%（每年）,11.97亿元,缺失,7.7,4.9,2.92,6.08,10.19,13.2,2.52,5.12,8.41,12.23,,,,,,,,,,
000504,债券型-中短债发行日期,0.30%（每年）,0.10%（每年）,3.73亿元,缺失,,,,,,,,,,,,,,,,,,,,
000505,货币型-普通货币发行日期,0.33%（每年）,0.05%（每年）,683.45亿元,缺失,,,,,,,,,,,,,,,,,,,,
000506,货币型-普通货币发行日期,0.33%（每年）,0.05%（每年）,0.52亿元,缺失,,,,,,,,,,,,,,,,,,,,
000507,混合型-偏债发行日期,0.60%（每年）,0.20%（每年）,0.45亿元,缺失,18.1,5.0,17.6,18.2,30.5,45.6,51.4,41.5,9.7,12.6,,,,,,,,,,
000508,混合型-偏债发行日期,0.60%（每年）,0.20%（每年）,0.07亿元,缺失,,,,,,,,,,,,,,,,,,,,
000509,货币型-普通货币发行日期,0.30%（每年）,0.05%（每年）,940.57亿元,缺失,,,,,,,,,,,,,,,,,,,,
000511,混合型-灵活发行日期,0.70%（每年）,0.16%（每年）,0.21亿元,缺失,41.7,47.4,70.4,24.9,50.1,82.6,97.8,77.1,70.6,74.0,,,,,,,,,,
000512,指数型-股票发行日期,0.90%（每年）,0.20%（每年）,1.19亿元,缺失,66.1,69.4,99.6,60.9,41.24,65.0,41.53,17.05,4.26,20.86,,,,,,,,,,
000513,股票型发行日期,1.20%（每年）,0.20%（每年）,5.30亿元,缺失,84.1,36.8,74.8,19.8,115.1,257.2,311.3,191.5,189.6,177.6,,,,,,,,,,
000514,股票型发行日期,1.20%（每年）,0.20%（每年）,5.30亿元,缺失,,,,,,,,,,,,,,,,,,,,
000516,债券型-长债发行日期,0.30%（每年）,0.07%（每年）,28.05亿元,缺失,,,0.02,5.27,7.6,11.75,15.23,13.9,16.39,19.25,,,,,,,,,,
000517,债券型-长债发行日期,0.30%（每年）,0.07%（每年）,0.03亿元,缺失,,,,,,,,,,,,,,,,,,,,
000520,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,1.46亿元,缺失,,,,,,,,,,,,,,,,,,,,
000521,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,10.20亿元,缺失,,,0.05,5.32,3.66,-0.61,0.8300000000000001,8.4,9.37,13.86,,,,,,,,,,
000522,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,1.79亿元,缺失,80.6,43.6,62.4,5.9,61.1,164.8,148.7,97.5,132.53,205.99,,,,,,,,,,
000523,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,1.21亿元,缺失,58.3,72.7,20.0,0.5,33.9,57.4,30.6,-8.0,-6.3,-20.29,,,,,,,,,,
000524,股票型发行日期,1.20%（每年）,0.20%（每年）,0.95亿元,缺失,,,,,,,,,,,,,,,,,,,,
000526,混合型-灵活发行日期,1.00%（每年）,0.20%（每年）,0.47亿元,缺失,27.8,28.6,46.1,19.4,29.3,29.3,40.1,28.1,26.0,36.9,,,,,,,,,,
000527,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,27.40亿元,缺失,88.5,92.9,153.2,109.2,191.9,431.8,401.5,244.6,190.6,208.85,,,,,,,,,,
000528,货币型-普通货币发行日期,0.15%（每年）,0.05%（每年）,75.18亿元,缺失,,,,,,,,,,,,,,,,,,,,
